name,genres
Frontlines™: Fuel of War™,"[{'id': '1', 'description': 'Action'}]"
Saints Row 2,"[{'id': '1', 'description': 'Action'}]"
Gish,"[{'id': '23', 'description': 'Indie'}]"
Desperados 2: Cooper's Revenge,"[{'id': '1', 'description': 'Action'}]"
Tycoon City: New York,"[{'id': '28', 'description': 'Simulation'}]"
Act of War: High Treason,"[{'id': '1', 'description': 'Action'}]"
Death to Spies,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Codename: Panzers - Cold War,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Champions Online,"[{'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
Star Trek Online,"[{'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
Blade Kitten,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Haunted House™,"[{'id': '25', 'description': 'Adventure'}]"
Star Raiders,"[{'id': '1', 'description': 'Action'}]"
The UnderGarden,"[{'id': '4', 'description': 'Casual'}]"
Call of Duty: World at War,"[{'id': '1', 'description': 'Action'}]"
King's Quest™ Collection,"[{'id': '25', 'description': 'Adventure'}]"
Space Quest™ Collection,"[{'id': '25', 'description': 'Adventure'}]"
Aces of the Galaxy™,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}]"
TimeShift™,"[{'id': '1', 'description': 'Action'}]"
3D Ultra™ Minigolf Adventures,"[{'id': '18', 'description': 'Sports'}]"
Prototype™,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Call of Duty®: Modern Warfare® 2,"[{'id': '1', 'description': 'Action'}]"
Postal III,"[{'id': '1', 'description': 'Action'}]"
Dead Mountaineer's Hotel,"[{'id': '25', 'description': 'Adventure'}]"
A Stroke of Fate: Operation Valkyrie,"[{'id': '25', 'description': 'Adventure'}]"
PT Boats: Knights of the Sea,"[{'id': '28', 'description': 'Simulation'}]"
PT Boats: South Gambit,"[{'id': '28', 'description': 'Simulation'}]"
Disciples III: Reincarnation,"[{'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
The Club™,"[{'id': '1', 'description': 'Action'}]"
Total War: EMPIRE – Definitive Edition,"[{'id': '2', 'description': 'Strategy'}]"
Beijing 2008™ - The Official Video Game of the Olympic Games,"[{'id': '18', 'description': 'Sports'}]"
Aliens vs. Predator™,"[{'id': '1', 'description': 'Action'}]"
TrackMania Nations Forever,"[{'id': '9', 'description': 'Racing'}]"
Sherlock Holmes - Nemesis,"[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
Dracula Origin,"[{'id': '25', 'description': 'Adventure'}]"
Sherlock Holmes: The Mystery of the Mummy,"[{'id': '25', 'description': 'Adventure'}]"
Sherlock Holmes: The Awakened - Remastered Edition,"[{'id': '25', 'description': 'Adventure'}]"
Sherlock Holmes: The Silver Earring,"[{'id': '25', 'description': 'Adventure'}]"
Sherlock Holmes: The Mystery of the Persian Carpet,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]"
Sherlock Holmes versus Jack the Ripper,"[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
Shadowgrounds Survivor,"[{'id': '1', 'description': 'Action'}]"
Gumboy Tournament,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}]"
Space Trader: Merchant Marine,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
Pacific Storm,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Pacific Storm Allies,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Penguins Arena: Sedna's World,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
Obulis,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
Larva Mortus,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
Chains,"[{'id': '23', 'description': 'Indie'}]"
Nikopol: Secrets of the Immortals,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
Crash Time 2,"[{'id': '1', 'description': 'Action'}, {'id': '9', 'description': 'Racing'}]"
Overlord™,"[{'id': '3', 'description': 'RPG'}]"
Soldiers: Heroes of World War II,"[{'id': '2', 'description': 'Strategy'}]"
